STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,WT01,WT05,WT04,WT03
GHCND:USC00241044,BOZEMAN MONTANA SU MT US,1497.5,45.6622,-111.0452,20140417,0,0,0,144,-6,-9999,-9999,-9999,-9999
GHCND:USC00241044,BOZEMAN MONTANA SU MT US,1497.5,45.6622,-111.0452,20140418,91,0,0,144,-11,-9999,-9999,-9999,-9999
GHCND:USC00241044,BOZEMAN MONTANA SU MT US,1497.5,45.6622,-111.0452,20140419,0,0,0,167,-39,-9999,-9999,-9999,-9999
GHCND:USC00241044,BOZEMAN MONTANA SU MT US,1497.5,45.6622,-111.0452,20140420,0,0,0,172,28,-9999,-9999,-9999,-9999
GHCND:USC00241044,BOZEMAN MONTANA SU MT US,1497.5,45.6622,-111.0452,20140421,0,0,0,189,-17,-9999,-9999,-9999,-9999
GHCND:USC00241044,BOZEMAN MONTANA SU MT US,1497.5,45.6622,-111.0452,20140422,3,0,0,194,83,-9999,-9999,-9999,-9999
GHCND:USC00241044,BOZEMAN MONTANA SU MT US,1497.5,45.6622,-111.0452,20140423,114,0,0,156,-11,-9999,-9999,-9999,-9999
GHCND:USC00241044,BOZEMAN MONTANA SU MT US,1497.5,45.6622,-111.0452,20140424,0,0,0,106,22,-9999,-9999,-9999,-9999
GHCND:USC00241044,BOZEMAN MONTANA SU MT US,1497.5,45.6622,-111.0452,20140425,3,0,0,133,0,-9999,-9999,-9999,-9999
GHCND:USC00241044,BOZEMAN MONTANA SU MT US,1497.5,45.6622,-111.0452,20140426,28,0,0,139,11,-9999,-9999,-9999,-9999
GHCND:USC00241044,BOZEMAN MONTANA SU MT US,1497.5,45.6622,-111.0452,20140427,74,0,0,89,6,-9999,-9999,-9999,-9999
GHCND:USC00241044,BOZEMAN MONTANA SU MT US,1497.5,45.6622,-111.0452,20140428,84,25,84,89,-17,-9999,-9999,-9999,-9999
GHCND:USC00241044,BOZEMAN MONTANA SU MT US,1497.5,45.6622,-111.0452,20140429,0,0,0,78,-22,-9999,-9999,-9999,-9999
GHCND:USC00241044,BOZEMAN MONTANA SU MT US,1497.5,45.6622,-111.0452,20140430,0,0,0,133,-17,-9999,-9999,-9999,-9999
GHCND:USC00241044,BOZEMAN MONTANA SU MT US,1497.5,45.6622,-111.0452,20140501,0,0,0,156,6,-9999,-9999,-9999,-9999
GHCND:USC00241044,BOZEMAN MONTANA SU MT US,1497.5,45.6622,-111.0452,20140502,0,0,0,206,33,-9999,-9999,-9999,-9999
GHCND:USC00241044,BOZEMAN MONTANA SU MT US,1497.5,45.6622,-111.0452,20140503,0,0,0,217,39,-9999,-9999,-9999,-9999
GHCND:USC00241044,BOZEMAN MONTANA SU MT US,1497.5,45.6622,-111.0452,20140504,0,0,0,150,22,-9999,-9999,-9999,-9999
GHCND:USC00241044,BOZEMAN MONTANA SU MT US,1497.5,45.6622,-111.0452,20140505,8,0,0,156,33,-9999,-9999,-9999,-9999
GHCND:USC00241044,BOZEMAN MONTANA SU MT US,1497.5,45.6622,-111.0452,20140506,71,0,0,128,17,-9999,-9999,-9999,-9999
GHCND:USC00241044,BOZEMAN MONTANA SU MT US,1497.5,45.6622,-111.0452,20140507,53,0,13,56,-22,-9999,-9999,-9999,-9999
GHCND:USC00241044,BOZEMAN MONTANA SU MT US,1497.5,45.6622,-111.0452,20140508,0,0,0,117,-28,-9999,-9999,-9999,-9999
GHCND:USC00241044,BOZEMAN MONTANA SU MT US,1497.5,45.6622,-111.0452,20140509,102,0,0,133,28,-9999,-9999,-9999,-9999
GHCND:USC00241044,BOZEMAN MONTANA SU MT US,1497.5,45.6622,-111.0452,20140510,43,0,0,78,-6,-9999,-9999,-9999,-9999
GHCND:USC00241044,BOZEMAN MONTANA SU MT US,1497.5,45.6622,-111.0452,20140511,43,0,0,67,0,-9999,-9999,-9999,-9999
GHCND:USC00241044,BOZEMAN MONTANA SU MT US,1497.5,45.6622,-111.0452,20140512,13,0,0,61,-11,-9999,-9999,-9999,-9999
GHCND:USC00241044,BOZEMAN MONTANA SU MT US,1497.5,45.6622,-111.0452,20140513,0,0,0,133,-17,-9999,-9999,-9999,-9999
GHCND:USC00241044,BOZEMAN MONTANA SU MT US,1497.5,45.6622,-111.0452,20140514,0,0,0,167,-11,-9999,-9999,-9999,-9999
GHCND:USC00241044,BOZEMAN MONTANA SU MT US,1497.5,45.6622,-111.0452,20140515,0,0,0,211,44,-9999,-9999,-9999,-9999
GHCND:USC00241044,BOZEMAN MONTANA SU MT US,1497.5,45.6622,-111.0452,20140516,0,0,0,211,83,-9999,-9999,-9999,-9999
GHCND:USC00241044,BOZEMAN MONTANA SU MT US,1497.5,45.6622,-111.0452,20140517,20,0,0,194,44,-9999,-9999,-9999,-9999
GHCND:USC00241044,BOZEMAN MONTANA SU MT US,1497.5,45.6622,-111.0452,20140518,61,0,0,194,56,-9999,-9999,-9999,-9999
GHCND:USC00241044,BOZEMAN MONTANA SU MT US,1497.5,45.6622,-111.0452,20140519,33,0,0,144,28,-9999,-9999,-9999,-9999
GHCND:USC00241044,BOZEMAN MONTANA SU MT US,1497.5,45.6622,-111.0452,20140520,0,0,0,161,28,-9999,-9999,-9999,-9999
GHCND:USC00241044,BOZEMAN MONTANA SU MT US,1497.5,45.6622,-111.0452,20140521,0,0,0,200,61,-9999,-9999,-9999,-9999
GHCND:USC00241044,BOZEMAN MONTANA SU MT US,1497.5,45.6622,-111.0452,20140522,0,0,0,222,50,-9999,-9999,-9999,-9999
GHCND:USC00241044,BOZEMAN MONTANA SU MT US,1497.5,45.6622,-111.0452,20140523,0,0,0,250,94,-9999,-9999,-9999,-9999
GHCND:USC00241044,BOZEMAN MONTANA SU MT US,1497.5,45.6622,-111.0452,20140524,0,-9999,-9999,261,89,-9999,-9999,-9999,-9999
GHCND:USC00241044,BOZEMAN MONTANA SU MT US,1497.5,45.6622,-111.0452,20140525,30,0,0,228,67,-9999,-9999,-9999,-9999
GHCND:USC00241044,BOZEMAN MONTANA SU MT US,1497.5,45.6622,-111.0452,20140526,0,0,0,244,89,-9999,-9999,-9999,-9999
GHCND:USC00241044,BOZEMAN MONTANA SU MT US,1497.5,45.6622,-111.0452,20140527,0,0,0,233,67,-9999,-9999,-9999,-9999
GHCND:USC00241044,BOZEMAN MONTANA SU MT US,1497.5,45.6622,-111.0452,20140528,0,0,0,250,117,-9999,-9999,-9999,-9999
GHCND:USC00241044,BOZEMAN MONTANA SU MT US,1497.5,45.6622,-111.0452,20140529,0,0,0,272,83,-9999,-9999,-9999,-9999
GHCND:USC00241044,BOZEMAN MONTANA SU MT US,1497.5,45.6622,-111.0452,20140530,0,0,0,206,39,-9999,-9999,-9999,-9999
GHCND:USC00241044,BOZEMAN MONTANA SU MT US,1497.5,45.6622,-111.0452,20140531,0,0,0,211,89,-9999,-9999,-9999,-9999
GHCND:USC00241044,BOZEMAN MONTANA SU MT US,1497.5,45.6622,-111.0452,20140601,61,0,0,206,67,-9999,-9999,-9999,-9999
GHCND:USC00241044,BOZEMAN MONTANA SU MT US,1497.5,45.6622,-111.0452,20140602,0,0,0,211,56,-9999,-9999,-9999,-9999
GHCND:USC00241044,BOZEMAN MONTANA SU MT US,1497.5,45.6622,-111.0452,20140603,5,0,0,217,106,-9999,-9999,-9999,-9999
GHCND:USC00241044,BOZEMAN MONTANA SU MT US,1497.5,45.6622,-111.0452,20140604,66,-9999,-9999,217,61,-9999,-9999,-9999,-9999
GHCND:USC00241044,BOZEMAN MONTANA SU MT US,1497.5,45.6622,-111.0452,20140605,0,0,0,211,50,-9999,-9999,-9999,-9999
GHCND:USC00241044,BOZEMAN MONTANA SU MT US,1497.5,45.6622,-111.0452,20140606,0,0,0,222,67,-9999,-9999,-9999,-9999
GHCND:USC00241044,BOZEMAN MONTANA SU MT US,1497.5,45.6622,-111.0452,20140607,0,0,0,183,44,-9999,-9999,-9999,-9999
GHCND:USC00241044,BOZEMAN MONTANA SU MT US,1497.5,45.6622,-111.0452,20140608,0,0,0,189,56,-9999,-9999,-9999,-9999
GHCND:USC00241044,BOZEMAN MONTANA SU MT US,1497.5,45.6622,-111.0452,20140609,0,0,0,244,61,-9999,-9999,-9999,-9999
GHCND:USC00241044,BOZEMAN MONTANA SU MT US,1497.5,45.6622,-111.0452,20140610,0,0,0,244,89,-9999,-9999,-9999,-9999
GHCND:USC00241044,BOZEMAN MONTANA SU MT US,1497.5,45.6622,-111.0452,20140611,28,0,0,217,50,-9999,-9999,-9999,-9999
GHCND:USC00241044,BOZEMAN MONTANA SU MT US,1497.5,45.6622,-111.0452,20140612,0,0,0,189,72,-9999,-9999,-9999,-9999
GHCND:USC00241044,BOZEMAN MONTANA SU MT US,1497.5,45.6622,-111.0452,20140613,25,0,0,200,100,-9999,-9999,-9999,-9999
GHCND:USC00241044,BOZEMAN MONTANA SU MT US,1497.5,45.6622,-111.0452,20140614,74,0,0,128,44,-9999,-9999,-9999,-9999
